bill_id,bill_type,full_name,frequency,num_transcripts,variants
HB 345,HB,House Bill,4,4,House Bill 345
HB 229,HB,House Bill,4,4,"House Bill
229; House Bill 229"
HB 108,HB,House Bill,4,4,"HB
108; HB 108; House Bill
108; House Bill 108; house bill
108"
HB 92,HB,House Bill,4,4,"HB 92; House Bill
92; House Bill 92"
HB 261,HB,House Bill,4,4,"House Bill
261; House Bill 261; house Bill 261"
HB 421,HB,House Bill,4,4,"HB 421; House Bill
421; House Bill 421"
HB 370,HB,House Bill,4,4,"HB
370; HB 370; House Bill
370; House Bill 370"
HB 335,HB,House Bill,4,4,"HB
335; HB 335; House Bill
335; House Bill 335"
HB 410,HB,House Bill,4,4,"HB
410; HB 410; House Bill
410; House Bill 410"
HB 227,HB,House Bill,4,4,HB 227; House Bill 227
HB 415,HB,House Bill,4,4,HB 415; House Bill 415
SB 178,SB,Senate Bill,4,4,"SB
178; SB 178; Senate Bill 178; Senate bill 178"
HB 546,HB,House Bill,4,4,"HB 546; House Bill
546; House Bill 546"
SB 418,SB,Senate Bill,4,4,"SB
418; SB 418; Senate Bill 418; Senate bill 418"
SB 156,SB,Senate Bill,4,4,"SB
156; SB 156; Senate Bill
156; Senate Bill 156"
SB 264,SB,Senate Bill,4,4,SB 264; Senate Bill 264
SB 358,SB,Senate Bill,4,4,"SB
358; SB 358; Senate Bill
358; Senate Bill 358"
SB 98,SB,Senate Bill,4,4,"Senate Bill
98; Senate Bill 98"
SB 99,SB,Senate Bill,4,4,"SB
99; SB 99; Senate Bill 99"
SB 231,SB,Senate Bill,4,4,"Senate Bill
231; Senate Bill 231"
SB 240,SB,Senate Bill,4,4,Senate Bill 240
SB 471,SB,Senate Bill,4,4,"SB
471; Senate Bill 471; Senate bill
471"
SM 16,SM,Senate Memorial,4,4,SM 16; Senate Memorial 16
SB 277,SB,Senate Bill,4,4,Senate Bill 277
SB 248,SB,Senate Bill,4,4,"SB 248; Senate Bill
248; Senate Bill 248"
HB 446,HB,House Bill,4,4,"HB
446; HB 446; House Bill
446; House Bill 446"
SB 111,SB,Senate Bill,4,4,SB 111; Senate Bill 111
SB 225,SB,Senate Bill,4,4,Senate Bill 225
SB 184,SB,Senate Bill,4,4,SB 184; Senate Bill 184
SB 202,SB,Senate Bill,4,4,Senate Bill 202
SB 188,SB,Senate Bill,4,4,"Senate Bill
188; Senate Bill 188"
SB 251,SB,Senate Bill,4,4,Senate Bill 251; Senate bill 251
SB 512,SB,Senate Bill,4,4,SB 512; Senate Bill 512
SB 89,SB,Senate Bill,4,4,SB 89; Senate Bill 89
SB 91,SB,Senate Bill,4,4,"SB
91; SB 91; Senate Bill 91"
HB 118,HB,House Bill,4,4,"HB
118; HB 118; House Bill
118; House Bill 118"
SB 174,SB,Senate Bill,4,4,"SB 174; Senate Bill
174; Senate Bill 174; Senate bill 174"
SB 138,SB,Senate Bill,4,4,"Senate Bill
138; Senate Bill 138"
HB 272,HB,House Bill,4,4,"House Bill
272; House Bill 272"
HB 188,HB,House Bill,4,4,"HB
188; HB 188; House Bill
188; House Bill 188"
HM 3,HM,House Memorial,4,4,"House Memorial 3; House memorial 3; house Memorial
3; house Memorial 3"
SB 258,SB,Senate Bill,4,4,"SB
258; SB 258; Senate Bill
258; Senate Bill 258"
SB 268,SB,Senate Bill,4,4,SB 268; Senate Bill 268; Senate bill 268
SB 380,SB,Senate Bill,4,4,"SB 380; Senate Bill
380; Senate Bill 380"
SB 325,SB,Senate Bill,4,4,"Senate Bill
325; Senate Bill 325; Senate bill
325"
HB 480,HB,House Bill,4,4,"HB 480; House Bill
480; House Bill 480"
SB 490,SB,Senate Bill,4,4,SB 490; Senate Bill 490
HB 279,HB,House Bill,4,4,"HB 279; House Bill
279; House Bill 279; house Bill 279"
SB 494,SB,Senate Bill,4,4,Senate Bill 494
HM 51,HM,House Memorial,4,4,House Memorial 51; house Memorial 51
HB 547,HB,House Bill,4,4,"House Bill
547; House Bill 547; house Bill 547; house bill
547"
HB 263,HB,House Bill,4,4,"HB 263; House Bill
263; House Bill 263"
HB 341,HB,House Bill,4,4,"HB
341; HB 341; House Bill
341; House Bill 341"
HB 351,HB,House Bill,4,4,"HB
351; HB 351; House Bill 351"
HB 94,HB,House Bill,4,4,"HB 94; House Bill
94; House Bill 94; house Bill 94"
HB 540,HB,House Bill,4,4,"House Bill
540; House Bill 540; house Bill 540"
HM 39,HM,House Memorial,4,4,"House Memorial
39; House Memorial 39"
HB 55,HB,House Bill,4,4,"House Bill
55; House Bill 55"
HM 61,HM,House Memorial,4,4,"House Memorial
61; House Memorial 61"
HB 347,HB,House Bill,4,4,HB 347; House Bill 347
HM 15,HM,House Memorial,4,4,"House Memorial
15; House Memorial 15"
SB 177,SB,Senate Bill,4,4,"SB
177; SB 177; Senate Bill
177; Senate Bill 177"
SB 84,SB,Senate Bill,4,4,"SB
84; SB 84; Senate Bill 84"
SB 173,SB,Senate Bill,4,4,"Senate Bill
173; Senate Bill 173"
SB 149,SB,Senate Bill,4,4,"SB
149; SB 149; Senate Bill 149"
HB 176,HB,House Bill,4,4,"HB 176; House Bill
176; House Bill 176"
HB 256,HB,House Bill,4,4,"House Bill
256; House Bill 256; house bill 256"
HB 521,HB,House Bill,4,4,"HB 521; House Bill
521; House Bill 521; house Bill 521"
HB 386,HB,House Bill,4,4,"House Bill
386; House Bill 386"
HB 25,HB,House Bill,4,4,"HB
25; HB 25; House Bill 25"
HB 127,HB,House Bill,4,4,House Bill 127; house Bill 127
HB 123,HB,House Bill,4,4,House Bill 123
HB 231,HB,House Bill,4,4,"HB 231; House Bill
231; House Bill 231; house Bill
231"
HB 132,HB,House Bill,4,4,"HB 132; House Bill
132; House Bill 132"
SB 190,SB,Senate Bill,4,4,SB 190; Senate Bill 190
SB 319,SB,Senate Bill,4,4,Senate Bill 319
HB 202,HB,House Bill,4,4,"HB 202; House Bill
202; House Bill 202"
HB 273,HB,House Bill,4,4,"HB
273; HB 273; House Bill
273; House Bill 273"
HB 264,HB,House Bill,4,4,"House Bill
264; House Bill 264; House bill 264; house Bill
264; house Bill 264"
HB 423,HB,House Bill,4,4,"HB
423; HB 423; House Bill
423; House Bill 423"
HM 27,HM,House Memorial,4,4,House Memorial 27
HM 38,HM,House Memorial,4,4,HM 38; House Memorial 38
HB 331,HB,House Bill,4,4,"HB 331; House Bill
331; House Bill 331"
HB 337,HB,House Bill,4,4,"House Bill
337; House Bill 337"
HM 60,HM,House Memorial,4,4,House Memorial 60
HM 62,HM,House Memorial,4,4,House Memorial 62
HB 462,HB,House Bill,4,4,"House Bill
462; House Bill 462; house bill 462"
HB 283,HB,House Bill,4,4,"HB
283; HB 283; House Bill
283; House Bill 283"
HB 221,HB,House Bill,4,4,House Bill 221
HM 48,HM,House Memorial,4,4,House Memorial 48; House memorial 48; house Memorial 48
HM 23,HM,House Memorial,4,4,House Memorial 23; house Memorial 23; house memorial 23
HB 83,HB,House Bill,4,4,"HB 83; House Bill
83; House Bill 83"
HB 459,HB,House Bill,4,4,"HB
459; HB 459; House Bill 459"
HM 42,HM,House Memorial,4,4,House Memorial 42
HB 254,HB,House Bill,4,4,"House Bill
254; House Bill 254; house Bill
254; house Bill 254; house bill
254"
HB 150,HB,House Bill,4,4,HB 150; House Bill 150
HB 208,HB,House Bill,4,4,"House Bill
208; House Bill 208"
HB 274,HB,House Bill,4,4,"HB
274; HB 274; House Bill 274; house bill 274"
HB 299,HB,House Bill,4,4,"HB
299; House Bill
299; House Bill 299; house Bill 299; house bill 299"
HB 300,HB,House Bill,4,4,House Bill 300; house bill 300
SB 458,SB,Senate Bill,4,4,"Senate Bill
458; Senate Bill 458"
HM 55,HM,House Memorial,3,3,House Memorial 55; house Memorial 55
HB 170,HB,House Bill,3,3,"House Bill
170; House Bill 170"
HB 237,HB,House Bill,3,3,HB 237; House Bill 237; hb 237
HB 377,HB,House Bill,3,3,House Bill 377
SB 289,SB,Senate Bill,3,3,"Senate Bill
289; Senate Bill 289"
SB 205,SB,Senate Bill,3,3,SB 205; Senate Bill 205; Senate bill 205
HB 166,HB,House Bill,3,3,"HB 166; House Bill 166; house bill
166; house bill 166"
HB 267,HB,House Bill,3,3,HB 267; House Bill 267
HB 285,HB,House Bill,3,3,House Bill 285
HB 447,HB,House Bill,3,3,"HB 447; House Bill
447; House Bill 447"
HB 44,HB,House Bill,3,3,"HB
44; HB 44; House Bill 44"
HB 506,HB,House Bill,3,3,"House Bill
506; House Bill 506"
HB 396,HB,House Bill,3,3,"House Bill
396; House Bill 396"
SB 214,SB,Senate Bill,3,3,SB 214; Senate Bill 214
SB 384,SB,Senate Bill,3,3,"Senate Bill
384; Senate Bill 384"
SB 208,SB,Senate Bill,3,3,"Senate Bill
208; Senate Bill 208"
SB 469,SB,Senate Bill,3,3,Senate Bill 469
SB 114,SB,Senate Bill,3,3,"SB
114; SB 114; Senate Bill 114"
SB 34,SB,Senate Bill,3,3,"SB 34; Senate Bill
34; Senate Bill 34"
HB 115,HB,House Bill,3,3,"House Bill
115; House Bill 115"
SB 355,SB,Senate Bill,3,3,"Senate Bill
355; Senate Bill 355"
SB 455,SB,Senate Bill,3,3,Senate Bill 455
SB 408,SB,Senate Bill,3,3,"Senate Bill 408; Senate bill
408; Senate bill 408"
HM 83,HM,House Memorial,3,3,House Memorial 83
SB 110,SB,Senate Bill,3,3,SB 110; Senate Bill 110
SB 265,SB,Senate Bill,3,3,Senate Bill 265
SB 121,SB,Senate Bill,3,3,"Senate Bill
121; Senate Bill 121"
SB 25,SB,Senate Bill,3,3,Senate Bill 25
SB 491,SB,Senate Bill,3,3,"Senate Bill 491; Senate bill
491"
SB 206,SB,Senate Bill,3,3,Senate Bill 206; Senate bill 206
SB 215,SB,Senate Bill,3,3,"Senate Bill
215; Senate Bill 215"
SB 420,SB,Senate Bill,3,3,"SB 420; Senate Bill
420; Senate Bill 420"
SB 294,SB,Senate Bill,3,3,"SB
294; SB 294; Senate Bill
294; Senate Bill 294"
SB 287,SB,Senate Bill,3,3,"SB
287; SB 287; Senate Bill 287"
SB 62,SB,Senate Bill,3,3,Senate Bill 62
SB 419,SB,Senate Bill,3,3,Senate Bill 419
SB 211,SB,Senate Bill,3,3,"SB
211; SB 211; Senate Bill
211; Senate Bill 211"
SB 164,SB,Senate Bill,3,3,SB 164; Senate Bill 164; Senate bill 164
SB 194,SB,Senate Bill,3,3,Senate Bill 194
SB 295,SB,Senate Bill,3,3,SB 295; Senate Bill 295
SB 296,SB,Senate Bill,3,3,SB 296; Senate Bill 296; Senate bill 296
SB 298,SB,Senate Bill,3,3,Senate Bill 298
SB 28,SB,Senate Bill,3,3,Senate Bill 28; Senate bill 28
SB 282,SB,Senate Bill,3,3,"SB 282; Senate Bill
282; Senate Bill 282"
SB 370,SB,Senate Bill,3,3,"SB 370; Senate Bill
370; Senate Bill 370"
SB 445,SB,Senate Bill,3,3,"Senate Bill
445; Senate Bill 445"
HB 110,HB,House Bill,3,3,HB 110; House Bill 110
SB 266,SB,Senate Bill,3,3,"SB 266; Senate Bill
266; Senate Bill 266; Senate bill 266"
SB 354,SB,Senate Bill,3,3,"SB 354; Senate Bill
354; Senate Bill 354"
SB 482,SB,Senate Bill,3,3,"Senate Bill
482; Senate Bill 482; Senate bill 482"
SB 286,SB,Senate Bill,3,3,SB 286; Senate Bill 286
SB 394,SB,Senate Bill,3,3,"Senate Bill
394; Senate Bill 394"
SB 130,SB,Senate Bill,3,3,"SB
130; Senate Bill
130; Senate Bill 130"
SB 516,SB,Senate Bill,3,3,Senate Bill 516
SB 238,SB,Senate Bill,3,3,"SB 238; Senate Bill
238; Senate Bill 238; Senate bill 238"
SB 344,SB,Senate Bill,3,3,"Senate Bill
344; Senate Bill 344"
SB 136,SB,Senate Bill,3,3,Senate Bill 136
SM 22,SM,Senate Memorial,3,3,"Senate Memorial
22; Senate Memorial 22"
SB 492,SB,Senate Bill,3,3,"Senate Bill
492; Senate Bill 492"
SB 198,SB,Senate Bill,3,3,Senate Bill 198
SB 414,SB,Senate Bill,3,3,"Senate Bill
414; Senate Bill 414"
SB 50,SB,Senate Bill,3,3,"Senate Bill
50; Senate Bill 50"
SB 46,SB,Senate Bill,3,3,SB 46; Senate Bill 46
HB 266,HB,House Bill,3,3,HB 266; House Bill 266
HB 355,HB,House Bill,3,3,"HB 355; House Bill
355; House Bill 355"
HB 420,HB,House Bill,3,3,"HB 420; House Bill
420; House Bill 420"
HB 408,HB,House Bill,3,3,House Bill 408
HB 542,HB,House Bill,3,3,"HB
542; HB 542; House Bill
542; House Bill 542"
HB 189,HB,House Bill,3,3,House Bill 189
HB 430,HB,House Bill,3,3,HB 430; House Bill 430
HB 373,HB,House Bill,3,3,"HB
373; HB 373; House Bill
373; House Bill 373"
HB 389,HB,House Bill,3,3,"HB 389; House Bill
389; House Bill 389"
HB 393,HB,House Bill,3,3,House Bill 393
HB 551,HB,House Bill,3,3,"House Bill
551; House Bill 551; house Bill 551"
HB 555,HB,House Bill,3,3,"House Bill
555; House Bill 555; House bill 555"
SM 12,SM,Senate Memorial,3,3,"Senate Memorial
12; Senate Memorial 12; Senate memorial
12; Senate memorial 12"
HB 589,HB,House Bill,3,3,"House Bill
589; House Bill 589"
HB 437,HB,House Bill,3,3,HB 437; House Bill 437
HB 503,HB,House Bill,3,3,HB 503; House Bill 503; house Bill 503
HB 465,HB,House Bill,3,3,House Bill 465
HB 404,HB,House Bill,3,3,HB 404; House Bill 404
HB 407,HB,House Bill,3,3,House Bill 407
HB 579,HB,House Bill,3,3,"HB 579; House Bill
579; House Bill 579"
HB 562,HB,House Bill,3,3,"House Bill
562; House Bill 562; house Bill
562; house Bill 562"
HM 58,HM,House Memorial,3,3,House Memorial 58
HB 527,HB,House Bill,3,3,"House Bill
527; House Bill 527"
HB 517,HB,House Bill,3,3,"House Bill
517; House Bill 517"
SB 55,SB,Senate Bill,3,3,Senate Bill 55; Senate bill 55
SB 103,SB,Senate Bill,3,3,"SB
103; SB 103; Senate Bill
103; Senate Bill 103"
SB 404,SB,Senate Bill,3,3,SB 404; Senate Bill 404; Senate bill 404
SB 498,SB,Senate Bill,3,3,"Senate Bill
498; Senate Bill 498; Senate bill
498"
SB 322,SB,Senate Bill,3,3,"SB 322; Senate Bill
322; Senate Bill 322"
SB 489,SB,Senate Bill,3,3,SB 489; Senate Bill 489; Senate bill 489
SB 80,SB,Senate Bill,3,3,SB 80; Senate Bill 80; Senate bill 80
SB 360,SB,Senate Bill,3,3,"SB
360; SB 360; Senate Bill
360; Senate Bill 360"
SB 499,SB,Senate Bill,3,3,"SB 499; Senate Bill
499; Senate Bill 499"
SB 346,SB,Senate Bill,3,3,Senate Bill 346
SB 436,SB,Senate Bill,3,3,"Senate Bill
436; Senate Bill 436; Senate bill 436"
SB 182,SB,Senate Bill,3,3,SB 182; Senate Bill 182
SB 415,SB,Senate Bill,3,3,"SB
415; SB 415; Senate Bill
415"
HB 581,HB,House Bill,3,3,"HB
581; HB 581; House Bill
581; House Bill 581; house Bill
581"
HB 334,HB,House Bill,3,3,"HB 334; House Bill
334; House Bill 334"
HM 24,HM,House Memorial,3,3,House Memorial 24
HM 36,HM,House Memorial,3,3,House Memorial 36; house Memorial 36
HB 482,HB,House Bill,3,3,"HB 482; House Bill
482; House Bill 482"
HB 569,HB,House Bill,3,3,HB 569; House Bill 569
HB 470,HB,House Bill,3,3,HB 470; House Bill 470
HB 319,HB,House Bill,3,3,"House Bill
319; House Bill 319; house Bill 319"
HB 329,HB,House Bill,3,3,"House Bill
329; House Bill 329"
HB 416,HB,House Bill,3,3,House Bill 416
HM 11,HM,House Memorial,3,3,"House Memorial
11; House Memorial 11; house Memorial 11"
HB 440,HB,House Bill,3,3,"House Bill
440; House Bill 440"
HB 367,HB,House Bill,3,3,House Bill 367
HB 114,HB,House Bill,3,3,"House Bill
114; House Bill 114"
HB 136,HB,House Bill,3,3,"HB 136; House Bill
136; House Bill 136"
HB 414,HB,House Bill,3,3,"House Bill
414; House Bill 414"
HJR 8,HJR,House Joint Resolution,3,3,HJR 8; House Joint Resolution 8
HB 406,HB,House Bill,3,3,"HB 406; House Bill
406; House Bill 406"
HB 418,HB,House Bill,3,3,"HB 418; House Bill
418; House Bill 418; house Bill 418"
HB 526,HB,House Bill,3,3,HB 526; House Bill 526
HB 475,HB,House Bill,3,3,"HB 475; House Bill
475; House Bill 475"
HB 497,HB,House Bill,3,3,"HB
497; HB 497; House Bill
497; House Bill 497"
HB 507,HB,House Bill,3,3,HB 507; House Bill 507
HB 390,HB,House Bill,3,3,"House Bill
390; House Bill 390"
HB 568,HB,House Bill,3,3,House Bill 568
HM 16,HM,House Memorial,3,3,"House Memorial
16; House Memorial 16"
HM 6,HM,House Memorial,3,3,House Memorial 6; house Memorial 6
HM 13,HM,House Memorial,3,3,House Memorial 13; House memorial 13
HB 356,HB,House Bill,3,3,House Bill 356
HM 41,HM,House Memorial,3,3,"HM 41; House Memorial
41; House Memorial 41"
HB 314,HB,House Bill,3,3,"HB
314; House Bill
314; House Bill 314"
HM 44,HM,House Memorial,3,3,House Memorial 44; house memorial 44
HB 305,HB,House Bill,3,3,"HB
305; House Bill
305; House Bill 305; house Bill
305; house Bill 305"
HB 306,HB,House Bill,3,3,House Bill 306
HB 312,HB,House Bill,3,3,"House Bill
312; House Bill 312"
HB 313,HB,House Bill,3,3,"House Bill 313; house bill
313; house bill 313"
HB 187,HB,House Bill,3,3,"House Bill 187; house Bill
187"
HB 223,HB,House Bill,3,3,"House Bill
223; House Bill 223; house Bill 223"
SB 379,SB,Senate Bill,3,3,"Senate Bill
379; Senate Bill 379"
SB 273,SB,Senate Bill,3,3,"SB
273; SB 273; Senate Bill
273; Senate Bill 273"
SB 237,SB,Senate Bill,3,3,SB 237; Senate Bill 237
SM 13,SM,Senate Memorial,3,3,Senate Memorial 13
SB 44,SB,Senate Bill,3,3,"Senate Bill
44; Senate Bill 44; Senate bill 44"
SB 196,SB,Senate Bill,3,3,Senate Bill 196; Senate bill 196
SB 478,SB,Senate Bill,3,3,"SB
478; Senate Bill 478"
SB 228,SB,Senate Bill,3,3,SB 228; Senate Bill 228
SB 457,SB,Senate Bill,3,3,Senate Bill 457
HB 990,HB,House Bill,2,2,House Bill 990
HB 2289,HB,House Bill,2,2,"HB
2289; House Bill 2289"
HB 387,HB,House Bill,2,2,House Bill 387
HB 560,HB,House Bill,2,2,House Bill 560
HB 121,HB,House Bill,2,2,"House Bill 121; house bill
121"
HB 122,HB,House Bill,2,2,"House Bill 122; house bill
122"
HB 564,HB,House Bill,2,2,"House Bill
564; House Bill 564"
HB 504,HB,House Bill,2,2,HB 504; House Bill 504
HB 574,HB,House Bill,2,2,HB 574; House Bill 574
HB 476,HB,House Bill,2,2,HB 476; House Bill 476
SB 391,SB,Senate Bill,2,2,Senate Bill 391
SB 412,SB,Senate Bill,2,2,Senate Bill 412
SB 139,SB,Senate Bill,2,2,"SB 139; Senate Bill
139; Senate Bill 139"
SB 342,SB,Senate Bill,2,2,Senate Bill 342
SB 339,SB,Senate Bill,2,2,Senate Bill 339; Senate bill 339
SB 470,SB,Senate Bill,2,2,SB 470; Senate Bill 470
SB 260,SB,Senate Bill,2,2,SB 260; Senate Bill 260
SB 262,SB,Senate Bill,2,2,Senate Bill 262
SB 439,SB,Senate Bill,2,2,Senate Bill 439
SB 466,SB,Senate Bill,2,2,"Senate Bill
466; Senate Bill 466"
SB 413,SB,Senate Bill,2,2,"Senate Bill
413; Senate Bill 413"
SB 422,SB,Senate Bill,2,2,Senate Bill 422
SB 141,SB,Senate Bill,2,2,"SB
141; SB 141; Senate Bill 141"
SB 181,SB,Senate Bill,2,2,Senate Bill 181
SB 183,SB,Senate Bill,2,2,"Senate Bill
183; Senate Bill 183"
SB 393,SB,Senate Bill,2,2,Senate Bill 393; Senate bill 393
SB 297,SB,Senate Bill,2,2,"Senate Bill 297; Senate bill
297"
SB 372,SB,Senate Bill,2,2,SB 372; Senate Bill 372
SB 424,SB,Senate Bill,2,2,"SB
424; SB 424; Senate Bill 424"
SB 497,SB,Senate Bill,2,2,Senate Bill 497
SB 336,SB,Senate Bill,2,2,"SB 336; Senate Bill
336; Senate Bill 336"
SB 67,SB,Senate Bill,2,2,Senate Bill 67
SB 316,SB,Senate Bill,2,2,"SB
316; SB 316; Senate Bill
316; Senate Bill 316; Senate bill
316"
HB 464,HB,House Bill,2,2,House Bill 464
SB 323,SB,Senate Bill,2,2,"Senate Bill
323; Senate Bill 323"
SB 351,SB,Senate Bill,2,2,Senate Bill 351
SB 473,SB,Senate Bill,2,2,"Senate Bill
473; Senate Bill 473"
HB 473,HB,House Bill,2,2,"House Bill
473; House Bill 473; house Bill 473"
HB 537,HB,House Bill,2,2,"HB 537; House Bill
537; House Bill 537"
HB 536,HB,House Bill,2,2,House Bill 536
HB 397,HB,House Bill,2,2,"House Bill
397; House Bill 397"
SB 416,SB,Senate Bill,2,2,Senate Bill 416
HB 488,HB,House Bill,2,2,House Bill 488
SB 396,SB,Senate Bill,2,2,"Senate Bill
396; Senate Bill 396"
SB 524,SB,Senate Bill,2,2,Senate Bill 524
SB 147,SB,Senate Bill,2,2,SB 147; Senate Bill 147
SB 245,SB,Senate Bill,2,2,"Senate Bill
245; Senate Bill 245"
SB 437,SB,Senate Bill,2,2,"Senate Bill
437; Senate Bill 437"
SB 465,SB,Senate Bill,2,2,"Senate Bill
465; Senate Bill 465"
SB 314,SB,Senate Bill,2,2,Senate Bill 314
SB 421,SB,Senate Bill,2,2,Senate Bill 421; Senate bill 421
SB 97,SB,Senate Bill,2,2,Senate Bill 97
SB 301,SB,Senate Bill,2,2,"Senate Bill
301; Senate Bill 301"
SB 222,SB,Senate Bill,2,2,Senate Bill 222
SB 185,SB,Senate Bill,2,2,SB 185; Senate Bill 185
SB 134,SB,Senate Bill,2,2,Senate Bill 134
SB 87,SB,Senate Bill,2,2,Senate Bill 87
HB 441,HB,House Bill,2,2,"HB 441; House Bill
441; House Bill 441"
HB 463,HB,House Bill,2,2,House Bill 463
HB 119,HB,House Bill,2,2,"House Bill
119; House Bill 119"
HB 593,HB,House Bill,2,2,HB 593; House Bill 593
HB 512,HB,House Bill,2,2,HB 512; House Bill 512
HB 400,HB,House Bill,2,2,HB 400; House Bill 400
HB 374,HB,House Bill,2,2,HB 374; House Bill 374
HB 379,HB,House Bill,2,2,HB 379; House Bill 379
HB 543,HB,House Bill,2,2,HB 543; House Bill 543
HB 561,HB,House Bill,2,2,"House Bill
561; House Bill 561; house Bill 561"
HB 486,HB,House Bill,2,2,"HB
486; HB 486; House Bill
486; House Bill 486"
HB 460,HB,House Bill,2,2,HB 460; House Bill 460
HB 500,HB,House Bill,2,2,"HB 500; House Bill
500; House Bill 500"
SB 502,SB,Senate Bill,2,2,Senate Bill 502
SB 269,SB,Senate Bill,2,2,"Senate Bill
269; Senate Bill 269"
SB 104,SB,Senate Bill,2,2,"SB 104; Senate Bill
104; Senate Bill 104"
SB 392,SB,Senate Bill,2,2,Senate Bill 392
SB 511,SB,Senate Bill,2,2,"Senate Bill
511; Senate Bill 511"
SB 582,SB,Senate Bill,2,2,SB 582; Senate Bill 582
SB 270,SB,Senate Bill,2,2,"Senate Bill
270; Senate Bill 270"
SB 288,SB,Senate Bill,2,2,Senate Bill 288; Senate bill 288
SB 338,SB,Senate Bill,2,2,Senate Bill 338
SB 365,SB,Senate Bill,2,2,Senate Bill 365
SB 366,SB,Senate Bill,2,2,Senate Bill 366
SB 395,SB,Senate Bill,2,2,Senate Bill 395
SB 427,SB,Senate Bill,2,2,Senate Bill 427
HB 594,HB,House Bill,2,2,HB 594; House Bill 594; house Bill 594
HB 4594,HB,House Bill,2,2,"HB
4594; House Bill 4594"
HB 318,HB,House Bill,2,2,House Bill 318
SB 191,SB,Senate Bill,2,2,"Senate Bill
191; Senate Bill 191"
SB 150,SB,Senate Bill,2,2,Senate Bill 150
SB 374,SB,Senate Bill,2,2,"Senate Bill
374; Senate Bill 374"
SB 381,SB,Senate Bill,2,2,"Senate Bill
381"
SB 244,SB,Senate Bill,2,2,Senate Bill 244
SB 32,SB,Senate Bill,2,2,Senate Bill 32
SB 359,SB,Senate Bill,2,2,Senate Bill 359
SB 307,SB,Senate Bill,2,2,Senate Bill 307
HB 342,HB,House Bill,2,2,House Bill 342
SB 464,SB,Senate Bill,2,2,Senate Bill 464
HM 28,HM,House Memorial,2,2,"House Memorial
28; House Memorial 28"
HM 30,HM,House Memorial,2,2,House Memorial 30
HJR 18,HJR,House Joint Resolution,2,2,HJR 18; House Joint Resolution 18
SB 3636,SB,Senate Bill,2,2,"Senate Bill
3636; Senate Bill 3636"
HM 17,HM,House Memorial,2,2,"House Memorial
17; House Memorial 17; House memorial 17; house Memorial 17"
HB 321,HB,House Bill,2,2,House Bill 321
HB 327,HB,House Bill,2,2,House Bill 327
HJR 14,HJR,House Joint Resolution,2,2,"House Joint resolution 14; House joint Resolution
14; House joint resolution 14"
HB 577,HB,House Bill,2,2,"House Bill
577; House Bill 577"
HM 26,HM,House Memorial,2,2,House Memorial 26
HM 21,HM,House Memorial,2,2,House Memorial 21
HB 435,HB,House Bill,2,2,"HB 435; House Bill
435; House Bill 435"
HB 436,HB,House Bill,2,2,House Bill 436
HB 126,HB,House Bill,2,2,"House Bill
126; House Bill 126"
HB 96,HB,House Bill,2,2,"House Bill
96; House Bill 96"
HB 105,HB,House Bill,2,2,"House Bill
105; House Bill 105"
HB 107,HB,House Bill,2,2,"HB
107; HB 107; House Bill
107; House Bill 107; house Bill 107"
HB 412,HB,House Bill,2,2,House Bill 412
HM 54,HM,House Memorial,2,2,House Memorial 54
HM 49,HM,House Memorial,2,2,"House Memorial
49; House Memorial 49"
HM 47,HM,House Memorial,2,2,House Memorial 47
HM 8,HM,House Memorial,2,2,House Memorial 8
HB 422,HB,House Bill,2,2,House Bill 422
HB 424,HB,House Bill,2,2,"House Bill
424; House Bill 424"
HB 474,HB,House Bill,2,2,HB 474; House Bill 474
HB 481,HB,House Bill,2,2,"HB 481; House Bill
481; House Bill 481"
HB 484,HB,House Bill,2,2,House Bill 484
HB 502,HB,House Bill,2,2,HB 502; House Bill 502
HB 513,HB,House Bill,2,2,"House Bill
513; House Bill 513"
HB 552,HB,House Bill,2,2,"HB 552; House Bill
552; House Bill 552"
HB 580,HB,House Bill,2,2,HB 580; House Bill 580
